Avis_efficacite_travail_confine,lieu_confinement,variation_temps_travail_conf,nbre_personne_dans_lieu_conf,efficacite_consignes_teletravaildonne_par_employeur,progression_sur_outils_collaboratifs,age,eval_suivi_actualite,frequence_sortir_en_semaine,eval_frequence_interaction_avec_collegues_enconf,evaluation_condition_travail_avant_conf,Consequence_negatives_teletravailconfines,impact_confinnement_relations_avec_confines,nature_travail,nbre_enfants_moins_12,eval_contact_avec_famille,isolation_pour travailler,evaluation_concentration_enconf,avantage_teletravail_confin,fréquence_téletravail_avant_conf,reamenagement_heures_travails_habituels,evaluation_manger,evaluatuin_boire_alcool,evaluation_condition_travail_apres_debut_conf,inquiet_sur_perennite_acauseCovid,taille_entreprise,nbre_resident_enresidence_principal,aimer_continuer_teltravail_enfutur,tempstransport_maison_entreprise,activite_sportif,statut_professionnel,soin_apparence_en_conf,contraries_lies_covid19,genre,acces_surface_exterieur,surface_lieu_confinement,satisfaction_equipement_bureautique,region,cause_distraction,longitude,latitude,nbre_personne_symptem_covid,apprend_de_cette_experience,eval_bien_etre_apres_conf,eval_bien_etre_avant_conf,statut_familial
4,Dans votre domicile,4,2.0,1,"Non, je les utilisais déjà beaucoup",33.0,4,Une fois dans la semaine ou moins,5,3,"Vous avez l'impression de ne jamais vous arrêter de travailler,C'est difficile de se concentrer,Les journées en télétravail sont plus fatiguantes,Vous vous sentez isolé.e",C'est pareil,"Manager des équipes ou des projets,Faire du développement commercial,Travailler en équipe",0.0,4,Oui,1,"Vous pouvez vous habiller comme vous voulez, Vous perdez moins de temps dans les transports",2 fois par semaine ou plus,Mon travail est plus étalé sur la journée,3,4,2,Un peu,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Vous dormez mal,Vous avez des sautes d'humeur",Une femme,"Oui, une terrasse ou un balcon",45.0,4,11,La situation liée au Covid 19,2.50339683029,48.7093130373,Aucune,"Rien, A faire plus attention à mes proches, A changer mes priorités",1.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,3,2.0,4,"Non, je les utilisais déjà beaucoup",36.0,3,Un jour sur deux ou moins,2,5,La communication avec vos collègues est moins fluide,C'est pareil,Vous travaillez seul la plupart du temps,0.0,3,Oui,2,"Vous avez davantage de temps libre, Vous perdez moins de temps dans les transports",Exceptionnellement,Mon travail est plus étalé sur la journée et le soir,3,3,4,Un peu,Petite et moyenne entreprise (10 à 250 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,2,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Une femme,"Oui, une terrasse ou un balcon",105.0,4,76,"La situation liée au Covid 19,Vous regardez très régulièrement l'actualité",2.14393168551,43.702501805,4-9 personnes,Rien,5.0,5.0,En couple et nous sommes confinés ensemble
4,Dans votre résidence secondaire,3,4.0,4,Beaucoup,54.0,4,Une fois par jour,3,5,Internet fonctionne moins bien à la campagne,C'est pareil,"Manager des équipes ou des projets,Faire du développement commercial,Travailler en équipe",0.0,4,Oui,3,"Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous dormez mieux",Tous les jours,Non,3,5,4,Un peu,Entreprise individuelle ou indépendant,0.0,"Oui, le plus possible",Moins de 10min,3,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Avoir des projets annulés,La santé de vos proches",Un homme,"Oui, un jardin",200.0,5,84,"Vous n'êtes pas particulièrement distrait.e,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail",4.5361294779,45.5146468499,Aucune,A télétravailler,5.0,5.0,En couple et nous sommes confinés ensemble
3,Chez un membre de votre famille,2,4.0,4,"Non, je les utilisais déjà beaucoup",45.0,3,Un jour sur deux ou moins,3,2,C'est difficile de se concentrer,C'est pareil,Travailler en équipe,2.0,5,Oui,2,"Vous avez davantage de temps libre, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",1 fois par semaine,Mon travail est plus étalé sur la journée,3,3,3,Non pas du tout,Grande entreprise (plus de 5000 salariés),0.0,"Oui, le plus possible",De 30min à 1h,2,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Vous dormez mal",Un homme,"Oui, un jardin",200.0,4,24,"La présence d'autres personnes,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les interactions à distance avec vos proches,Les tâches ménagères",1.68439387012,47.4847733655,4-9 personnes,"A être plus empathique, A faire plus attention à mes proches",3.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,3,2.0,2,Un peu,29.0,4,Une fois dans la semaine ou moins,2,4,"C'est difficile de se concentrer,Vous avez l'impression de ne jamais vous arrêter de travailler,La communication avec vos collègues est moins fluide,Mauvaise connexion internet",C'est pareil,"Travailler en équipe,Manager des équipes ou des projets",0.0,3,Oui,2,"Vous pouvez vous habiller comme vous voulez, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports, Vous dormez mieux",Exceptionnellement,Mon travail est plus étalé sur la journée et le soir,3,3,4,Non pas du tout,Grande entreprise (plus de 5000 salariés),2.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,3,Cadre ou profession intellectuelle supérieure,2,"La santé de vos proches,Ne pas pouvoir aller au bureau,Vous avez des sautes d'humeur",Une femme,"Oui, une terrasse ou un balcon",78.0,4,11,La présence d'autres personnes,2.50339683029,48.7093130373,1-3 personnes,Rien,2.0,3.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,3,3.0,4,Un peu,31.0,4,Une fois dans la semaine ou moins,2,3,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,La communication avec vos collègues est moins fluide",C'est pareil,Travailler en équipe,1.0,3,Oui,2,"Vous perdez moins de temps dans les transports, Vous interagissez davantage avec les personnes qui vous entourent, Vous dormez mieux, Vous avez davantage de temps libre",Jamais,Non,3,3,4,Non pas du tout,Institution publique,3.0,"Oui, le plus possible",De 30min à 1h,3,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors",Un homme,"Oui, une terrasse ou un balcon",68.0,2,11,La présence d'autres personnes,2.50339683029,48.7093130373,1-3 personnes,A télétravailler,4.0,4.0,En couple et nous sommes confinés ensemble
4,Dans votre domicile,3,4.0,4,"Non, je les utilisais déjà beaucoup",22.0,3,Un jour sur deux ou moins,4,5,"C'est difficile de se concentrer,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,Vous vous sentez isolé.e",C'est pareil,Travailler en équipe,0.0,3,Oui,2,"Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Jamais,Mon travail est plus étalé sur la journée,3,1,3,Un peu,Grande entreprise (plus de 5000 salariés),4.0,"Oui, une fois de temps en temps",De 30min à 1h,3,Stagiaire,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Ne pas pouvoir aller au bureau,Vous vous sentez seul.e,Vous dormez mal",Une femme,"Oui, une cour",80.0,4,11,"La présence d'autres personnes,Vous regardez très régulièrement l'actualité,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les interactions à distance avec vos proches",2.50339683029,48.7093130373,1-3 personnes,A télétravailler,3.0,3.0,En couple mais nous ne sommes pas confinés ensemble
2,Dans votre domicile,2,2.0,5,Un peu,49.0,5,Un jour sur deux ou moins,2,5,"Les journées en télétravail sont plus fatiguantes,Vous vous sentez isolé.e,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,C'est difficile de se concentrer,La communication avec vos collègues est moins fluide","Non, nos relations se détériorent légèrement",Travailler en équipe,0.0,1,Oui,2,"Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",2 fois par semaine ou plus,Non,2,3,1,Un peu,Grande entreprise (plus de 5000 salariés),2.0,"Oui, le plus possible",De 30min à 1h,1,Employé,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Vous vous sentez seul.e,Avoir des projets annulés",Une femme,"Oui, une terrasse ou un balcon",90.0,5,11,"La situation liée au Covid 19,Vous regardez très régulièrement l'actualité",2.50339683029,48.7093130373,Aucune,"A être plus empathique, A faire plus attention à mes proches, A changer mes priorités",1.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,3,2.0,4,"Non, je les utilisais déjà beaucoup",29.0,5,Un jour sur deux ou moins,2,4,"La communication avec vos collègues est moins fluide,Vous vous sentez isolé.e",C'est pareil,"Faire du développement commercial,Manager des équipes ou des projets,Travailler en équipe",0.0,3,Oui,3,"Vous êtes plus concentré.e sur votre travail, Vous perdez moins de temps dans les transports",Exceptionnellement,Mon travail est plus étalé sur la journée,3,5,2,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),2.0,Comme avant (si vous en faisiez déjà),De 10 à 30min,4,Cadre ou profession intellectuelle supérieure,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Avoir des projets annulés,Ne pas pouvoir aller au bureau,Vous vous sentez seul.e",Une femme,Aucun espace extérieur,65.0,1,11,"Les interactions à distance avec vos proches,Vous regardez très régulièrement l'actualité",2.50339683029,48.7093130373,1-3 personnes,A télétravailler,3.0,4.0,En couple et nous sommes confinés ensemble
1,Dans votre domicile,1,3.0,2,"Non, je les utilisais déjà beaucoup",23.0,3,Une fois par jour,1,5,"Vous vous sentez isolé.e,La communication avec vos collègues est moins fluide,C'est difficile de se concentrer,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent",C'est pareil,Travailler en équipe,0.0,3,Oui,1,Vous perdez moins de temps dans les transports,Jamais,Mon travail est plus étalé sur la journée et le soir,3,3,3,Un peu,Grande entreprise (plus de 5000 salariés),3.0,Non,De 30min à 1h,3,Stagiaire,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Ne pas pouvoir sortir dehors,Ne pas pouvoir aller au bureau,Avoir des projets annulés",Une femme,"Oui, un jardin",40.0,3,11,"Les interactions à distance avec vos proches,La situation liée au Covid 19",2.50339683029,48.7093130373,Aucune,"Que l'environnement dans lequel on vit n'est pas si stable, tout peut basculer très vite",3.0,3.0,Célibataire
3,Dans votre domicile,2,3.0,4,"Non, je les utilisais déjà beaucoup",38.0,3,Une fois par jour,4,3,"C'est difficile de se concentrer,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent","Non, c'est très compliqué",Travailler en équipe,2.0,3,Oui,2,"Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous dormez mieux, Vous perdez moins de temps dans les transports",Jamais,"Mon travail est plus étalé sur la journée, le soir et même le weekend",3,4,4,Un peu,Grande entreprise (plus de 5000 salariés),2.0,Non,De 30min à 1h,3,Employé,3,"Vous avez des sautes d'humeur,La santé de vos proches,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter",Un homme,"Oui, un jardin",1200.0,5,84,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,4.5361294779,45.5146468499,Aucune,A changer mes priorités,5.0,4.0,En couple mais nous ne sommes pas confinés ensemble
3,Chez un membre de votre famille,2,3.0,4,"Non, je les utilisais déjà beaucoup",29.0,4,Une fois dans la semaine ou moins,2,4,La communication avec vos collègues est moins fluide,C'est pareil,Travailler en équipe,0.0,4,Oui,4,"Vous êtes plus concentré.e sur votre travail, Vous avez davantage de temps libre, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports, Vous ressentez moins de pression professionnelle et êtes plus détendu.e",Jamais,Non,4,3,3,Un peu,Grande entreprise (plus de 5000 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Ne pas pouvoir aller au bureau",Un homme,"Oui, un jardin",80.0,2,44,Vous n'êtes pas particulièrement distrait.e,5.61310830551,48.6889749341,1-3 personnes,A télétravailler,4.0,4.0,En couple mais nous ne sommes pas confinés ensemble
2,Dans votre domicile,2,3.0,2,Un peu,46.0,5,Une fois par jour,1,3,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,Les journées en télétravail sont plus fatiguantes,C'est difficile de se concentrer","Oui, on est plus proches",Travailler en équipe,2.0,5,Non,2,"Vous avez davantage de temps libre, Vous pouvez vous habiller comme vous voulez, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",1 fois par semaine,"Mon travail est plus étalé sur la journée, le soir et même le weekend",5,3,3,Non pas du tout,Institution publique,5.0,"Oui, le plus possible",De 10 à 30min,5,Cadre ou profession intellectuelle supérieure,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Grossir",Une femme,"Oui, un jardin",100.0,3,84,"La présence d'autres personnes,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail",4.5361294779,45.5146468499,1-3 personnes,"A télétravailler, A changer mes priorités, A faire plus attention à mes proches",3.0,3.0,Célibataire
2,Dans votre domicile,3,4.0,4,Un peu,21.0,4,Une fois dans la semaine ou moins,2,4,"La communication avec vos collègues est moins fluide,Vous vous sentez isolé.e",C'est pareil,"Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,5,Oui,2,"Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous perdez moins de temps dans les transports",Jamais,Non,4,1,3,Non pas du tout,Grande entreprise (plus de 5000 salariés),4.0,Non,Plus d'une heure,4,Stagiaire,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,Ne pas pouvoir aller au bureau",Un homme,"Oui, une terrasse ou un balcon",180.0,2,11,"La présence d'autres personnes,Les tâches ménagères",2.50339683029,48.7093130373,Aucune,"A télétravailler, A être plus autonome",5.0,4.0,Célibataire
2,Dans votre domicile,1,4.0,2,Un peu,21.0,4,Une fois par jour,2,3,C'est difficile de se concentrer,C'est pareil,"Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,4,Oui,1,"Vous dormez mieux, Vous perdez moins de temps dans les transports, Vous pouvez faire des pauses dans la journée, Vous avez davantage de temps libre",Jamais,Non,4,3,3,Non pas du tout,Institution publique,3.0,Non,De 10 à 30min,4,Etudiante,4,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Grossir,Ne pas pouvoir sortir dehors,Vous vous sentez seul.e",Une femme,"Oui, un jardin",100.0,4,76,"Les tâches ménagères,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail",2.14393168551,43.702501805,1-3 personnes,A faire plus attention à mes proches,2.0,1.0,En couple mais nous ne sommes pas confinés ensemble
2,Dans votre résidence secondaire,3,5.0,4,Un peu,40.0,4,Une fois dans la semaine ou moins,3,4,La communication avec vos collègues est moins fluide,"Oui, on est plus proches",Travailler en équipe,3.0,4,Oui,2,"Vous perdez moins de temps dans les transports, Vous interagissez davantage avec les personnes qui vous entourent",2 fois par semaine ou plus,Non,3,4,4,Non pas du tout,Grande entreprise (plus de 5000 salariés),0.0,"Oui, le plus possible",De 10 à 30min,4,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Une femme,"Oui, un jardin",120.0,3,75,"La situation liée au Covid 19,La présence d'autres personnes,Vous regardez très régulièrement l'actualité",0.207590925898,45.2068394103,1-3 personnes,A changer mes priorités,4.0,4.0,En couple et nous sommes confinés ensemble
